HUCID,gauge_in,gauge_out
18100204,USGS-09527700,USGS-10259540
18090202,,USGS-10251330
18070203,,USGS-11078000
18070202,,USGS-11070500
18060005,,USGS-11152500
18060004,,USGS-11148500
18040014,,USGS-11255575
18040006,,USGS-11251000
18040002,,USGS-11303500
18020162,,USGS-11454000
18020153,,USGS-11376550
18020152,,USGS-11376000
18020151,,USGS-11374000
18020125,,USGS-11421000
18020116,,USGS-384041121402601
18010211,,USGS-11530000
18010210,,USGS-11522500
18010208,,USGS-11519500
18010207,,USGS-11517500
18010204,,USGS-11509390
18010202,,USGS-11501000
18010201,,USGS-11502500
18010104,,USGS-11473900
17110016,,USGS-12080010
17110010,,USGS-12150400
17110006,,USGS-12189500
17110005,,USGS-12189700
17100311,,USGS-14378200
17100309,,USGS-14369500
17100302,,USGS-14312330
17100301,,USGS-14319500
17100103,,USGS-12031000
17090011,,USGS-14211010
17090010,,USGS-14207500
17090009,,USGS-14202000
17090009,,USGS-14200000
17090006,,USGS-14189000
17090005,,USGS-14189000
17090004,,USGS-14165500
17090002,,USGS-14157500
17090001,,USGS-14152000
17080005,,USGS-14244180
17080004,,USGS-14233500
17080002,,USGS-14220500
17080002,,USGS-14222500
17070306,,USGS-14103000
17070305,,USGS-14087400
17070204,,USGS-14048000
17070203,,USGS-14044000
17070202,,USGS-14046000
17070106,,USGS-14113000
17070103,,USGS-14033500
17070102,,USGS-14018500
17060307,,USGS-13340600
17060306,,USGS-13342500
17060305,,USGS-13338500
17060303,,USGS-13337000
17060302,,USGS-13336500
17060210,,USGS-13316500
17060206,,USGS-13310199
17060204,,USGS-13305310
17060203,,USGS-13307000
17060202,,USGS-13302005
17060107,,USGS-13344550
1705,,USGS-13290450
17040221,,USGS-13152500
17040220,,USGS-13152500
17040219,,USGS-13152500
17040213,,USGS-13108150
17040212,USGS-13087995,USGS-13154500
17040210,,USGS-13154500
17040209,USGS-13077000,USGS-13087995
17040207,,USGS-13068501
17040207,,USGS-13068500
17040206,,USGS-13077000
17040205,,USGS-13058000
17040204,,USGS-13055340
17040204,,USGS-13055250
17040203,,USGS-13056500
17040202,,USGS-13046000
17040201,,USGS-13058529
17040105,,USGS-13027500
17040104,,USGS-13037500
17040103,,USGS-13023000
17040103,,USGS-13022500
17040102,,USGS-13015000
17040101,,USGS-13013650
17020015,,USGS-12472600
17020013,,USGS-12466015
17020011,,USGS-12462500
17020009,,USGS-12452550
17020008,,USGS-12449900
17020004,,USGS-12434590
17020003,,USGS-12409000
17010308,,USGS-12431500
17010306,,USGS-12424000
17010305,,USGS-12422500
17010304,,USGS-12415135
17010303,,USGS-12417650
17010302,,USGS-12413470
17010301,,USGS-12413000
17010215,,USGS-12395000
17010214,,USGS-12395500
17010213,,USGS-12391950
17010212,,USGS-12388700
17010211,,USGS-12370000
17010209,,USGS-12362500
17010208,,USGS-12372000
17010207,,USGS-12358500
17010206,,USGS-12355500
17010205,,USGS-12352500
17010204,,USGS-12354500
17010203,,USGS-12340000
17010202,,USGS-12334550
17010201,,USGS-12324680
17010103,,USGS-12304500
17010102,,USGS-12302055